0408-21-31-14-549,memo, 35347.7740881443 
0412-17-23-35-062,memo, 26619.601979970932 
1021-19-33-48-955,memo, 17419.614005804062 
1021-19-32-51-076,memo, 18118.23972439766 
1021-19-35-04-765,memo, 18307.008278608322 
1022-09-05-12-791,memo, 13806.496890068054 
1022-09-01-50-773,memo, 14643.82093000412 
1022-15-24-24-878,memo, 25396.65413403511 
1022-15-23-56-485,memo, 25923.54025363922 
1022-15-24-53-574,memo, 26154.83588027954 
1022-15-23-28-120,memo, 26349.153467655182 
1023-10-04-05-609,memo, 26428.22264099121 
1023-10-10-35-692,memo, 26304.9197371006 
1023-10-03-42-724,memo, 26949.355098962784 
1023-10-02-39-706,memo, 27101.5702085495 
1023-17-49-28-308,memo, 18538.239352941513 
1023-17-48-53-374,memo, 19107.7501373291 
1023-17-48-02-406,memo, 19309.2230656147 
1024-09-26-10-070,memo, 34256.26611328125 
1024-09-30-56-231,memo, 34399.80031585693 
1025-09-13-46-187,memo, 19533.663504838943 
1025-09-13-18-825,memo, 19821.29275536537 
1025-10-28-39-849,memo, 17574.196513175964 
